iter	RMSE
0	8.749918485
1	8.204881897
2	7.716491357
3	7.276122785
4	6.886389316
5	6.535309965
6	6.239837602
7	5.986180575
8	5.738995242
9	5.521706332
10	5.338160474
11	5.166439259
12	5.033403711
13	4.890517245
14	4.768081104
15	4.674516642
16	4.585726057
17	4.486206134
18	4.416717666
19	4.35060964
20	4.304946473
21	4.26265093
22	4.221763084
23	4.181131135
24	4.147826422
25	4.119104332
26	4.083911898
27	4.055528914
28	4.024223761
29	4.000912901
30	3.976949293
31	3.959860955
32	3.937280359
33	3.921679989
34	3.9052283
35	3.890893155
36	3.875758582
37	3.854263171
38	3.841939169
39	3.830482899
40	3.815499168
41	3.807645978
42	3.797781949
43	3.792132931
44	3.780999219
45	3.775681488
46	3.766387688
47	3.756080201
48	3.741396179
49	3.723796395
50	3.706572468
51	3.699780914
52	3.687248853
53	3.681567588
54	3.672609385
55	3.665835227
56	3.649438909
57	3.636633454
58	3.626390983
59	3.619782923
60	3.608993125
61	3.599280802
62	3.589145568
63	3.580198276
64	3.568376385
65	3.554451294
66	3.551552769
67	3.542648414
68	3.536700675
69	3.532034242
70	3.525587515
71	3.515341359
72	3.506500868
73	3.498227487
74	3.487364054
75	3.475952093
76	3.467880536
77	3.457250243
78	3.450843943
79	3.442169294
80	3.437602571
81	3.428220674
82	3.415223226
83	3.405511733
84	3.394849749
85	3.388328634
86	3.381474709
87	3.376013219
88	3.370118612
89	3.361631878
90	3.357271888
91	3.352702737
92	3.348679334
93	3.342886228
94	3.337575684
95	3.331120926
96	3.325695631
97	3.322085938
98	3.314844247
99	3.306307354
100	3.293450725
101	3.290882716
102	3.276868872
103	3.269951592
104	3.266086114
105	3.260794587
106	3.254607212
107	3.240757257
108	3.237676851
109	3.233785122
110	3.224690673
111	3.221120399
112	3.21581632
113	3.213121688
114	3.207301835
115	3.193369671
116	3.185717738
117	3.180302756
118	3.170571942
119	3.162962145
120	3.158112381
121	3.1503847
122	3.140645236
123	3.135913343
124	3.132391623
125	3.125585618
126	3.116966037
127	3.108699118
128	3.101682863
129	3.099213326
130	3.095510811
131	3.086378346
132	3.077433525
133	3.067601473
134	3.059955638
135	3.053068635
136	3.049544151
137	3.047464732
138	3.040165254
139	3.03735415
140	3.027342784
141	3.022142699
142	3.016966049
143	3.011142478
144	3.003779244
145	2.99653112
146	2.981395165
147	2.971270916
148	2.968131914
149	2.964689938
150	2.957292387
151	2.952316212
152	2.947361016
153	2.942135931
154	2.935676185
155	2.930864986
156	2.922827268
157	2.919491458
158	2.912305555
159	2.905748686
160	2.903748061
161	2.898634915
162	2.892655904
163	2.888048947
164	2.882034244
165	2.876949992
166	2.87265347
167	2.863070707
168	2.856959057
169	2.852820036
170	2.840352233
171	2.836843597
172	2.833678337
173	2.823793332
174	2.817329651
175	2.811637317
176	2.804035627
177	2.798754935
178	2.796102224
179	2.789784935
180	2.784613608
181	2.779540997
182	2.774126986
183	2.769173549
184	2.766676349
185	2.763048444
186	2.758712152
187	2.756348215
188	2.750426698
189	2.745413964
190	2.735354021
191	2.730889306
192	2.725269042
193	2.715754931
194	2.703134248
195	2.700952703
196	2.694217523
197	2.685421321
198	2.677667649
199	2.674890089
200	2.670990993
201	2.665653533
202	2.65944197
203	2.647794418
204	2.643723821
205	2.639242619
206	2.626043571
207	2.621117293
208	2.611150202
209	2.60624692
210	2.603365677
211	2.59770035
212	2.594285569
213	2.588005717
214	2.581385254
215	2.579874188
216	2.572258357
217	2.567742992
218	2.56550066
219	2.552614836
220	2.546400085
221	2.537469795
222	2.525865949
223	2.523316869
224	2.521450592
225	2.517671595
226	2.512314083
227	2.506171671
228	2.501371917
229	2.498968278
230	2.495509514
231	2.492546985
232	2.487828875
233	2.481326042
234	2.474007892
235	2.472150039
236	2.46697123
237	2.462436725
238	2.46022169
239	2.458664831
240	2.451107164
241	2.447660355
242	2.441762303
243	2.439685686
244	2.435433301
245	2.434068053
246	2.432467358
247	2.427289587
248	2.423448022
249	2.418749826
250	2.413596953
251	2.410140447
252	2.406115089
253	2.403049326
254	2.398019718
255	2.392060675
256	2.388153414
257	2.38315445
258	2.380986799
259	2.370919386
260	2.36407615
261	2.356959123
262	2.355073338
263	2.348453939
264	2.346053476
265	2.338875899
266	2.335454246
267	2.329209209
268	2.323369226
269	2.321035091
270	2.315797727
271	2.311188357
272	2.308107295
273	2.305648219
274	2.303664027
275	2.301780708
276	2.297961087
277	2.296690891
278	2.291078323
279	2.286846857
280	2.285513825
281	2.283995358
282	2.278614313
283	2.275584906
284	2.271659003
285	2.267270589
286	2.265059507
287	2.259456971
288	2.258017192
289	2.251460598
290	2.248065437
291	2.241803639
292	2.239120081
293	2.235161506
294	2.232092657
295	2.229722536
296	2.224596166
297	2.221104523
298	2.216820321
299	2.214925744
300	2.209476165
301	2.206422832
302	2.201404862
303	2.199281418
304	2.195681221
305	2.192008349
306	2.187459428
307	2.183483739
308	2.17771905
309	2.171706839
310	2.168021532
311	2.163967104
312	2.161651498
313	2.156611519
314	2.151361146
315	2.143672321
316	2.141905116
317	2.134784536
318	2.131131854
319	2.126240845
320	2.121430596
321	2.11774492
322	2.113304449
